field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,W001,text,text,case_constant,county,0,0,green,Y,,,case_dict,
unified_criminal_docket,UNIFIED CRIMINAL DOCKET,W002,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
superior_court,SUPERIOR COURT,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,DISTRICT COURT,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location,Location,W005,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W006,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
bail_id_number,Bail ID Number,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendant,Defendant,W008,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
names_dobs_and_addresses_of_victims_1,Names DOBs and addresses of victims 1,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
names_dobs_and_addresses_of_victims_2,Names DOBs and addresses of victims 2,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
names_dobs_and_addresses_of_victims_3,Names DOBs and addresses of victims 3,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date,Date,W012,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
