field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
county,County,W001,text,text,case_constant,county,0,0,green,Y,,,case_dict,
location,Location,W002,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W003,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
docket_no_2,Docket No_2,W004,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
name_of_adoptee,Name of Adoptee,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
first,first,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
middle,middle,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
last,last,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth,Date of birth,W009,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
legal_residence,Legal Residence,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city_town,city/town,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
zip,zip,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mailing_address,Mailing Address,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city_town_1,city/town 1,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
zip_1,zip 1,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone,Telephone,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
first_1,first 1,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
middle_1,middle 1,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
last_1,last 1,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_of_birth_2,Date of birth_2,W020,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
legal_residence_2,Legal Residence_2,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
mailing_address_2,Mailing Address_2,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city_town_2,city/town 2,W023,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
zip_2,zip 2,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city_town_22,city/town 22,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
zip_3,zip 3,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
telephone_2,Telephone_2,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
first_2,first 2,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
middle_2,middle 2,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
last_2,last 2,W030,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
