field_id,label,type,page,rect
defendant,Defendant,text,0,"31.1,122.2,237.0,135.7"
superior_court,Superior Court,checkbox,0,"355.7,77.3,368.8,90.4"
district_court,District Court,checkbox,0,"455.4,77.3,468.5,90.4"
unified_criminal_docket,Unified Criminal Docket,checkbox,0,"355.7,91.9,368.8,105.0"
county,County,text,0,"400.6,106.9,581.0,120.5"
location_town,Location Town,text,0,"441.0,122.2,581.0,135.7"
docket_no,Docket No,text,0,"418.7,137.3,581.0,150.8"
my_name_is,My name is,text,0,"98.2,212.8,360.1,226.3"
my_date_of_birth_mmddyyyy_is,My date of birth mmddyyyy is,text,0,"203.6,227.4,360.1,241.0"
my_home_phone_is_1,My home phone  is 1,text,0,"141.4,242.0,288.1,255.6"
my_cell_phone_is,My cell phone  is,text,0,"384.4,242.0,576.1,255.6"
my_home_phone_is_2,My home phone  is 2,text,0,"36.0,271.3,576.1,284.9"
the_same_as_my_residential_address,the same as my residential address,checkbox,0,"147.4,287.5,160.4,300.6"
text1,Text1,text,0,"36.3,299.0,576.0,315.0"
total_of_all_fines_owed,Total of all fines owed,text,0,"155.5,372.2,360.1,385.8"
date_fines_due_the_dueinfull_date_or_the_next_payment_datemmddyyyy,Date fines due the dueinfull date or the next payment datemmddyyyy,text,0,"411.0,386.9,576.1,400.4"
fine_extensionmodification_isare_as_follows_1,fine extensionmodification isare as follows 1,text,0,"36.0,430.8,576.1,444.4"
fine_extensionmodification_isare_as_follows_2,fine extensionmodification isare as follows 2,text,0,"36.0,445.4,576.1,459.0"
fine_extensionmodification_isare_as_follows_3,fine extensionmodification isare as follows 3,text,0,"36.0,460.1,576.1,473.6"
employed_by,Employed by,checkbox,0,"36.7,505.7,49.8,518.8"
a_month_in_disability_income,a month in disability income,text,0,"122.9,504.1,324.0,517.7"
i_make,I make,text,0,"371.0,504.1,407.0,517.7"
week,week,checkbox,0,"439.9,505.7,453.0,518.8"
month,month,checkbox,0,"486.0,505.7,499.1,518.8"
two,two,checkbox,0,"538.7,505.7,551.8,518.8"
disabled_and_receive,Disabled and receive,checkbox,0,"36.7,535.0,49.8,548.0"
undefined,undefined,text,0,"163.9,533.4,252.1,547.0"
unemployed_and_receive,Unemployed and receive,checkbox,0,"36.7,549.6,49.8,562.7"
a_week_in_unemployment_compensation,a week in unemployment compensation,text,0,"184.1,548.0,288.1,561.6"
unemployed_and_receive_2,Unemployed and receive_2,checkbox,0,"36.7,564.2,49.8,577.3"
per_month_in_tanf_benefits,per month in TANF benefits,text,0,"184.7,562.7,288.1,576.2"
unemployed_but_expect_to_start_working_on_mmddyyyy,Unemployed but expect to start working on mmddyyyy,checkbox,0,"36.7,578.9,49.8,592.0"
and_expect_to,and expect to,text,0,"341.9,577.3,504.1,590.9"
make,make,text,0,"89.6,592.0,180.1,605.5"
week_2,week_2,checkbox,0,"213.1,593.5,226.2,606.6"
month_2,month_2,checkbox,0,"259.2,593.5,272.3,606.6"
two_weeks,two weeks,checkbox,0,"311.8,593.5,324.8,606.6"
am_currently_expecting_a,Am currently expecting a,checkbox,0,"36.7,608.2,49.8,621.2"
state,State,checkbox,0,"178.8,608.2,191.9,621.2"
federal_tax_refund_in_the_total_amount_of,Federal Tax refund in the total amount of,checkbox,0,"224.0,608.2,237.1,621.2"
undefined_2,undefined_2,text,0,"451.1,606.6,540.0,620.2"
have_no_source_of_income,Have no source of income,checkbox,0,"36.7,622.8,49.8,635.9"
i_have,I have,checkbox,0,"36.7,637.4,49.8,650.5"
cash_in_my_possession,cash in my possession,text,0,"91.3,635.9,180.1,649.4"
i_request_that_the_court_grant_me,I request that the Court grant me,checkbox,1,"54.7,83.3,67.8,96.4"
more_days_to_pay_my_fine_in_full,more days to pay my fine in full,text,1,"235.9,81.7,324.1,95.3"
i_request_a_new_payment_plan_of,I request a new payment plan of,checkbox,1,"54.7,103.9,67.8,117.0"
every,every,text,1,"238.0,102.4,324.1,115.9"
week_3,week_3,checkbox,1,"357.1,103.9,370.2,117.0"
two_weeks_2,two weeks_2,checkbox,1,"403.2,103.9,416.3,117.0"
month_beginning,month beginning,checkbox,1,"475.6,103.9,488.6,117.0"
mmddyyyy,mmddyyyy,text,1,"144.1,117.0,288.0,130.6"
court_grants_my_request_before_the_date_of_the_hearing_i_must_return_to_court_on_mmddyyyy,Court grants my request before the date of the hearing I must return to court on mmddyyyy,text,1,"506.3,161.0,576.1,174.6"
at,at,text,1,"48.5,175.7,108.1,189.2"
am,AM,checkbox,1,"111.5,177.2,124.6,190.3"
pm_for_a_hearing,PM for a hearing,checkbox,1,"148.7,177.2,161.8,190.3"
i_swear_under_penalty_of_perjury_that_the_above_statements_are_true_and_correct_i_understand_that_these,I swear under penalty of perjury that the above statements are true and correct I understand that these,checkbox,1,"36.7,250.4,49.8,263.5"
date_mmddyyyy,Date mmddyyyy,text,1,"138.6,318.2,251.3,331.8"
undefined_3,undefined_3,text,1,"323.2,318.2,579.7,331.8"
