field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
location,Location,W001,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no_2,Docket No_2,W002,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
in_re,IN RE,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
my_name_is,My name is,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardian_of_minor_on_an_emergency_basis,Guardian of minor on an emergency basis,W005,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
guardian_of_a_minor_on_an_interim_basis,Guardian of a minor on an interim basis,W006,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
guardian_of_minor,Guardian of minor,W007,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
no_more_than_90_days_guardianship_on_an_emergency_basis,No more than 90 days guardianship on an emergency basis,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
no_more_than_six_6_months_or_pending_the_courts_final_order_unless_agreed_to_by_the,No more than six 6 months or pending the courts final order unless agreed to by the,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
until_the_minor_child_reaches_majority_or_as_otherwise_specified_in_the_order_appointing,Until the minor child reaches majority or as otherwise specified in the Order Appointing,W010,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
dated,Dated,W011,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
text14,Text14,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_1,Name 1,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address,Address,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name_2,Name 2,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
phone_number,Phone Number,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
email,Email,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
