field_id,label,type,page,rect
defendant,Defendant,text,0,"35.3,99.4,237.0,120.2"
superior_court,Superior Court,checkbox,0,"355.7,61.8,368.8,74.9"
district_court,District Court,checkbox,0,"447.2,61.8,460.3,74.9"
unified_criminal_docket,Unified Criminal Docket,checkbox,0,"355.7,76.4,368.8,89.5"
county,County,text,0,"400.6,89.5,581.0,105.0"
location_town,Location Town,text,0,"441.0,105.7,581.0,120.2"
docket_no,Docket No,text,0,"418.7,120.8,581.0,135.4"
undefined,undefined,text,0,"72.0,213.8,572.6,234.7"
3_bail_is_now_set_at,3 Bail is now set at,text,0,"156.5,257.7,360.1,278.6"
with_the_following_conditions_1,with the following conditions 1,text,0,"72.0,279.7,576.1,300.6"
with_the_following_conditions_2,with the following conditions 2,text,0,"72.0,301.6,576.1,322.5"
personal_recognizance,Personal recognizance,checkbox,0,"108.7,370.1,121.8,383.2"
unsecured_appearance_bond,Unsecured appearance bond,checkbox,0,"108.7,384.7,121.8,397.8"
bail_in_the_amount_of,Bail in the amount of,checkbox,0,"108.7,399.4,121.8,412.4"
5_if_released_on_bail_the_defendant_will_live_at_give_full_address,5 If released on bail the defendant will live at give full address,text,0,"239.2,398.8,396.1,412.4"
and,and,text,0,"72.0,441.2,550.9,462.0"
will_be_employed_at_give_name_and_address_of_employer_1,will be employed at give name and address of employer 1,text,0,"353.0,463.1,576.1,484.0"
will_be_employed_at_give_name_and_address_of_employer_2,will be employed at give name and address of employer 2,text,0,"72.0,485.1,540.1,506.0"
6_list_any_earlier_criminal_convictions_and_any_prior_failures_to_appear,6 List any earlier criminal convictions and any prior failures to appear,text,0,"405.1,507.0,576.1,527.9"
undefined_2,undefined_2,text,0,"72.0,529.0,572.6,549.9"
7_the_defendant_has_lived_in_maine_for_state_how_long,7 The defendant has lived in Maine for state how long,text,0,"336.1,551.0,432.1,571.8"
maine,Maine,text,0,"109.0,573.0,572.6,593.9"
date_mmddyyyy,Date mmddyyyy,text,0,"138.6,613.5,251.3,634.4"
undefined_3,undefined_3,text,0,"323.2,613.5,579.7,634.4"
attorney_for_defendant,Attorney for Defendant,checkbox,0,"332.2,632.1,345.2,644.6"
