field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
v,V,W002,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court,Superior Court,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
bcd,BCD,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W006,text,text,case_constant,county,0,0,green,Y,,,case_dict,
undefined,undefined,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
location_town,Location Town,W008,text,text,case_constant,county,0,0,green,Y,,,case_dict,
attorney_for_plaintiff,Attorney for Plaintiff,W009,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
plaintiff_represents_under_oath_that_each_of_the_statements_marked,Plaintiff represents under oath that each of the statements marked,W010,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
undefined_2,undefined_2,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendant_has_failed_to_appear_plead_or_otherwise_defend_this_action_as_required_by_the,Defendant has failed to appear plead or otherwise defend this action as required by the,W012,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
defendant_has_appeared_but_has_failed_to_plead_or_otherwise_defend_this_action_in_that,Defendant has appeared but has failed to plead or otherwise defend this action in that,W013,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
1,1,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
2,2,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
3,3,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
defendant_is_not_a_minor_or_incompetent_person,Defendant is not a minor or incompetent person,W017,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
defendant_is_a,Defendant is a,W018,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
minor,minor,W019,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
incompetent_person_and_appearance_has_been_entered_for,incompetent person and appearance has been entered for,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
guardian,guardian,W021,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
guardian_ad_litem,guardian ad litem,W022,text,text,party_attr,guardian,0,0,green,Y,,,case_dict,
conservator,conservator,W023,text,text,party_attr,conservator,0,0,green,Y,,,case_dict,
other_representative,other representative,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
text4,Text4,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
to_the_personal_knowledge_of_the_undersigned_defendant_is_not_in_the_military_service_of_the,To the personal knowledge of the undersigned Defendant is not in the Military Service of the,W026,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
this_fact_is_evidenced_by_the_following_facts_as_to_residence_employment_etc_1,This fact is evidenced by the following facts as to residence employment etc 1,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_fact_is_evidenced_by_the_following_facts_as_to_residence_employment_etc_2,This fact is evidenced by the following facts as to residence employment etc 2,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_fact_is_evidenced_by_the_following_facts_as_to_residence_employment_etc_3,This fact is evidenced by the following facts as to residence employment etc 3,W029,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiffs_claim_against_defendant_is_for_a_sum_certain_or_for_a_sum_which_can_by,Plaintiffs claim against Defendant is for a sum certain or for a sum which can by,W030,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
computation_be_made_certain_and_the_amount_now_due_by_the_defendant_to_the_plaintiff_on,computation be made certain and the amount now due by the Defendant to the Plaintiff on,W031,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
the_original_or_copy_of_any_negotiable_obligation_upon_which_this_action_is_brought_is,The original or copy of any negotiable obligation upon which this action is brought is,W032,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
the_plaintiffs_claim_against_defendant_is_not_for_a_sum_certain_nor_for_a_sum_that_can_by,The Plaintiffs claim against Defendant is not for a sum certain nor for a sum that can by,W033,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
to_the_personal_knowledge_of_the_undersigned_venue_was_properly_laid_in_this_court_as,To the personal knowledge of the undersigned venue was properly laid in this Court as,W034,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
shown_by_the_following_facts_1,shown by the following facts 1,W035,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
shown_by_the_following_facts_2,shown by the following facts 2,W036,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
shown_by_the_following_facts_3,shown by the following facts 3,W037,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
affiant_has_provided_notice_as_required_m_r_civ_p_55f,Affiant has provided notice as required M R Civ P 55f,W038,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
i_swear_under_penalty_of_perjury_that_the_above_statements_are_true_and_correct_i_understand_that_these,I swear under penalty of perjury that the above statements are true and correct I understand that these,W039,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W040,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
undefined_3,undefined_3,W041,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
date_mmddyyyy_2,Date mmddyyyy_2,W042,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
notary_public,Notary Public,W043,text,text,case_constant,notary,1,0,green,Y,,,case_dict,
attorney_at_law,Attorney at Law,W044,text,text,party_attr,attorney,1,0,green,Y,,,case_dict,
clerk,Clerk,W045,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
that_the_default_of_defendant,That the default of defendant,W046,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
the_clerk,the clerk,W047,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
the_court,the Court,W048,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
that_judgment_by_default_against_the_defendant,That judgment by default against the defendant,W049,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
undefined_5,undefined_5,W050,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
be_entered_by_the_clerk_in_the_sum_of,be entered by the clerk in the sum of,W051,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
with_interest,with interest,W052,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
and,and,W053,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
that_judgment_by_default_against_the_defendant_2,That judgment by default against the defendant_2,W054,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
undefined_6,undefined_6,W055,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
be_granted_by_the_court_in_the_sum_of,be granted by the Court in the sum of,W056,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
with_interest_2,with interest_2,W057,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
and_2,and_2,W058,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
that_judgment_by_default_against_the_defendant_3,That judgment by default against the defendant_3,W059,text,text,party_attr,defendant,1,0,green,Y,,,case_dict,
undefined_7,undefined_7,W060,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
date_mmddyyyy_3,Date mmddyyyy_3,W061,text,text,narrative_derived,date,1,5,green,,Y,,llm_over_narrative,
undefined_8,undefined_8,W062,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
attorney_for_plaintiff_2,Attorney for Plaintiff_2,W063,text,text,party_attr,attorney,1,0,green,Y,,,case_dict,
plaintiff_2,Plaintiff_2,W064,text,text,party_attr,plaintiff,1,0,green,Y,,,case_dict,
bar_no_if_applicable,Bar No if applicable,W065,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
address_1,Address 1,W066,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
address_2,Address 2,W067,text,text,narrative_derived,free_text,1,5,green,,Y,,llm_over_narrative,
