field_id,label,type,page,rect
defendant,Defendant,text,0,"35.0,107.4,237.0,121.1"
superior_court,Superior Court,checkbox,0,"355.7,62.6,368.8,75.7"
district_court,District Court,checkbox,0,"455.4,62.6,468.5,75.7"
unified_criminal_docket,Unified Criminal Docket,checkbox,0,"355.7,77.3,368.8,90.4"
county,County,text,0,"400.6,92.2,581.0,105.8"
location_town,Location Town,text,0,"441.0,107.4,581.0,121.1"
docket_no,Docket No,text,0,"418.7,122.5,581.0,136.2"
name,Name,text,0,"70.9,204.0,324.1,217.7"
date_of_birth_mmddyyyy,Date of birth mmddyyyy,text,0,"466.8,204.0,576.1,217.7"
total_number_of_hours_needed,Total number of hours needed,text,0,"190.8,218.6,324.1,232.3"
to_be_completed_by_mmddyyyy,To be completed by mmddyyyy,text,0,"210.7,233.3,324.1,247.0"
organization_name,Organization name,text,0,"134.8,293.0,576.1,306.7"
address,Address,text,0,"81.0,307.8,576.1,321.4"
telephone,Telephone,text,0,"93.7,322.3,324.1,336.0"
supervisor_name,Supervisor name,text,0,"124.0,337.0,324.1,350.6"
telephone_2,Telephone_2,text,0,"384.4,337.0,576.1,350.6"
itemization_of_days_and_hours_worked_by_cpsw_participant_attach_a_separate_sheet_if_needed_1,Itemization of days and hours worked by CPSW participant attach a separate sheet if needed 1,text,0,"36.0,370.7,576.1,479.7"
highly_satisfactory,Highly satisfactory,checkbox,0,"254.6,492.5,267.7,505.6"
satisfactory,Satisfactory,checkbox,0,"364.2,492.5,377.3,505.6"
unsatisfactory,Unsatisfactory,checkbox,0,"441.4,492.5,454.4,505.6"
comments_1,Comments 1,text,0,"35.6,524.1,575.7,572.1"
date_mmddyyyy,Date mmddyyyy,text,0,"138.6,582.0,251.3,595.7"
printed_name,Printed Name,text,0,"323.2,626.4,579.7,640.1"
