field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
location,Location,W001,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no_2,Docket No_2,W002,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
name_of_adoptee,Name of Adoptee,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_matter_involves_an_adoption_petition_filed_pursuant_to_18c_mrs_9301_and_the_minor_adoptee,This matter involves an adoption petition filed pursuant to 18C MRS  9301 and the minor adoptee,W004,text,text,party_attr,minor,0,0,green,Y,,,case_dict,
i_am_the_adoptee_named_above_i_was_born_on,I am the adoptee named above I was born on,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_i_am,and I am,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_understand_that_a_petition_to_adopt_me_has_been_filed_by,I understand that a petition to adopt me has been filed by,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
petitioners_who_will_become_my_legal,petitioners who will become my legal,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_for_the_change_of_my_name,and for the change of my name,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
this_matter_involves_a_confirmatory_adoption_petition_filed_pursuant_to_18c_mrs_9316_and_the,This matter involves a confirmatory adoption petition filed pursuant to 18C MRS  9316 and the,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_am_the_adoptee_named_above_i_was_born_on_2,I am the adoptee named above I was born on_2,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
and_i_am_2,and I am_2,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
i_understand_that_a_petition_to_adopt_me_has_been_filed_by_2,I understand that a petition to adopt me has been filed by_2,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
petitioners_who_isare_my_parents_or_my,petitioners who isare my parents or my,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
dated,Dated,W015,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
text1,Text1,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
printed_name_of_adoptee,Printed Name of Adoptee,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,COUNTY,W018,text,text,case_constant,county,0,0,green,Y,,,case_dict,
personally_appeared_the_abovenamed,Personally appeared the abovenamed,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
